Comment,Designator,Footprint,LCSC Part No.
22pF,"C1,C3,C9,C10,C15,C21,C27",0603,C1653
4.7nF,"C16,C18,C22,C24,C28,C30",0603,C53987
10nF,C2,0603,C57112
100nF,"C4,C5,C6,C7,C8,C11,C12,C33,C34",0603,C14663
2.2uF,"C13,C17,C19,C20,C23,C25,C26,C29,C31,C32",3216,C179115
10uF,C14,0805,C15850
10uH,L1,0805,C1046
330R,"R40,R44,R48",0603,C23138
390R,"R37,R38,R39,R41,R42,R43,R45,R46,R47,R49,R50,R51",0603,C23151
680R,R36,0603,C23228
2.7k,"R15,R24,R33",0603,C13167
3k,"R17,R26,R35",0603,C4211
5.1k,"R1,R2",0603,C23186
5.6k,"R10,R19,R28",0603,C23189
8.2k,R4,0603,C25981
10k,R6,1206,C17902
12k,"R3,R12,R21,R30",0603,C22790
51k,"R14,R23,R32",0603,C23196
100k,"R7,R8,R16,R25,R34",0603,C25803
220k,"R13,R22,R31",0603,C22961
430k,"R11,R20,R29",0603,C25969
1M,"R5,R9,R18,R27",0603,C22935
12MHz,Y1,3225,C9002
16MHz,Y2,3225,C13738
Schottky,"D1,D2,D3",SOD-123,C8598
Push Button,SW1,SPST_SKQG,C318884
CH340G,U1,SOIC-16,C14267
ATmega328P-AU,U2,TQFP-32,C14877
LM324DT,"U3,U4",SOIC-14,C71035
74HC238,"U5,U6",SOIC-16,C5620
TYPE-C-31-M-12,"J4","TYPE-C-31_L8.94_W7.3",C165948
